User,Playlist Name,URL
Spotify,lofi sleep,https://open.spotify.com/playlist/37i9dQZF1DX2PQDq3PdrHQ?si=b63a1043937f41e1
Lofi Girl,Study lofi,https://open.spotify.com/playlist/0vvXsWCC9xrXsKd4FyS8kM?si=fb6d0b9b00234063
Lofi Girl,Sleep lofi,https://open.spotify.com/playlist/5FmmxErJczcrEwIFGIviYo?si=cbeacb7d64c240f4
Lofi Cafe Records,Lofi Sleep,https://open.spotify.com/playlist/1wIiq1eaCj73Bqyw0cWRvn?si=3b3bc6838f994fac
Chillhop World,lofi rain lofi sleep,https://open.spotify.com/playlist/4eWBwGl0c5wtp6k5Krp6My?si=fec0172fdd7b4ee0
thebootlegboy,Sad & Sleepy Beats,https://open.spotify.com/playlist/71019EDcRamfMmOEEoTdEu?si=6fca719d506f400f
The Jazz Hop Cafe,Midnight Lofi,https://open.spotify.com/playlist/1xi62RdqNzuyw1k4d7s2vp?si=2fa8feb465424aba
Dreamy Records,lofi sleep,https://open.spotify.com/playlist/5o72BXFfQMzw0zBC5EhJL9?si=6d43768cd5924a47
Sleep Tales,"lofi sleep, lofi rain",https://open.spotify.com/playlist/35xI4hSJ8MdO1xkXwsd56a?si=7fce1e8a896d47ad
Spotify,lofi + chill,https://open.spotify.com/playlist/37i9dQZF1DWYoYGBbGKurt?si=9e2497df82ea4776
